text,parent_key
Q96NT5,SMP00053
P50583,SMP00168
O75414,SMP00168
O75356,SMP00168
Q5MY95,SMP00168
Q16774,SMP00168
P49902,SMP00168
Q16854,SMP00168
P07741,SMP00168
P00491,SMP00168
P00492,SMP00168
Q9Y2T3,SMP00168
Q9UKK9,SMP00168
P21108,SMP00168
Q06203,SMP00168
P22102,SMP00168
O15067,SMP00168
P22234,SMP00168
P30566,SMP00168
P31939,SMP00168
Q9BY32,SMP00168
P49915,SMP00168
P20839,SMP00168
P36959,SMP00168
P47989,SMP00168
P30520,SMP00168
P23109,SMP00168
P00813,SMP00168
P00568,SMP00168
Q8NBU5,SMP00168
Q08499,SMP00168
Q96PN6,SMP00168
P33402,SMP00168
Q02153,SMP00168
Q9Y233,SMP00168
P10599,SMP00168
P23921,SMP00168
P31350,SMP00168
P00492,SMP00428
P20839,SMP00428
P49915,SMP00428
P51580,SMP00428
P63000,SMP00428
Q06278,SMP00428
Q06203,SMP00428
Q14542,SMP00428
Q9HAS3,SMP00428
Q99808,SMP00428
O43868,SMP00428
O15440,SMP00428
O15439,SMP00428
P47989,SMP00428
P55263,SMP00428
P50583,SMP00428
O75414,SMP00428
O75356,SMP00428
Q5MY95,SMP00428
Q16774,SMP00428
P49902,SMP00428
Q16854,SMP00428
P07741,SMP00428
P00491,SMP00428
Q9Y2T3,SMP00428
Q9UKK9,SMP00428
P21108,SMP00428
P22102,SMP00428
O15067,SMP00428
P22234,SMP00428
P30566,SMP00428
P31939,SMP00428
Q9BY32,SMP00428
P36959,SMP00428
P30520,SMP00428
P23109,SMP00428
P00813,SMP00428
P00568,SMP00428
Q8NBU5,SMP00428
Q08499,SMP00428
Q96PN6,SMP00428
P33402,SMP00428
Q02153,SMP00428
Q9Y233,SMP00428
P10599,SMP00428
P23921,SMP00428
P31350,SMP00428
P00492,SMP00430
P20839,SMP00430
P49915,SMP00430
P51580,SMP00430
P63000,SMP00430
Q06278,SMP00430
Q06203,SMP00430
Q14542,SMP00430
Q9HAS3,SMP00430
Q99808,SMP00430
O43868,SMP00430
O15440,SMP00430
O15439,SMP00430
P47989,SMP00430
P55263,SMP00430
P50583,SMP00430
O75414,SMP00430
O75356,SMP00430
Q5MY95,SMP00430
Q16774,SMP00430
P49902,SMP00430
Q16854,SMP00430
P07741,SMP00430
P00491,SMP00430
Q9Y2T3,SMP00430
Q9UKK9,SMP00430
P21108,SMP00430
P22102,SMP00430
O15067,SMP00430
P22234,SMP00430
P30566,SMP00430
P31939,SMP00430
Q9BY32,SMP00430
P36959,SMP00430
P30520,SMP00430
P23109,SMP00430
P00813,SMP00430
P00568,SMP00430
Q8NBU5,SMP00430
Q08499,SMP00430
Q96PN6,SMP00430
P33402,SMP00430
Q02153,SMP00430
Q9Y233,SMP00430
P10599,SMP00430
P23921,SMP00430
P31350,SMP00430
P21397,SMP00485
P05091,SMP00485
O75600,SMP00485
Q9UI17,SMP00485
Q9UL12,SMP00485
P23378,SMP00485
P48728,SMP00485
P34897,SMP00485
P09622,SMP00485
P21549,SMP00485
P50440,SMP00485
Q14353,SMP00485
P13196,SMP00485
Q93088,SMP00485
Q14749,SMP00485
Q8IVS8,SMP00485
O43175,SMP00485
Q9Y617,SMP00485
P78330,SMP00485
P20132,SMP00485
P49591,SMP00485
P34896,SMP00485
P41250,SMP00485
Q9GZT4,SMP00485
P35520,SMP00485
P32929,SMP00485
P50583,SMP00512
O75414,SMP00512
O75356,SMP00512
Q5MY95,SMP00512
Q16774,SMP00512
P49902,SMP00512
Q16854,SMP00512
P07741,SMP00512
P00491,SMP00512
P00492,SMP00512
Q9Y2T3,SMP00512
Q9UKK9,SMP00512
P21108,SMP00512
Q06203,SMP00512
P22102,SMP00512
O15067,SMP00512
P22234,SMP00512
P30566,SMP00512
P31939,SMP00512
Q9BY32,SMP00512
P49915,SMP00512
P20839,SMP00512
P36959,SMP00512
P47989,SMP00512
P30520,SMP00512
P23109,SMP00512
P00813,SMP00512
P00568,SMP00512
Q8NBU5,SMP00512
Q08499,SMP00512
Q96PN6,SMP00512
P33402,SMP00512
Q02153,SMP00512
Q9Y233,SMP00512
P10599,SMP00512
P23921,SMP00512
P31350,SMP00512
P34896,SMP00570
P42898,SMP00570
Q99707,SMP00570
P32929,SMP00570
P35520,SMP00570
Q93088,SMP00570
P26358,SMP00570
P17707,SMP00570
P19623,SMP00570
Q13126,SMP00570
P23526,SMP00570
Q96RQ9,SMP00570
P56192,SMP00570
Q96DP5,SMP00570
P31153,SMP00570
Q9NZL9,SMP00570
Q8NE62,SMP00570
Q8IXL7,SMP00570
Q9Y3D2,SMP00570
P00374,SMP00724
P11586,SMP00724
O75891,SMP00724
O95954,SMP00724
P49914,SMP00724
P42898,SMP00724
Q05932,SMP00724
Q92820,SMP00724
Q6UB35,SMP00724
P13995,SMP00724
Q96DP5,SMP00724
Q96NT5,SMP00724
Z00Z00,SMP00801
Q922D8,SMP00801
Q8R0Y6,SMP00801
Q91XD4,SMP00801
Q3TYX5,SMP00801
F6Z4F8,SMP00801
P48760,SMP00801
Q9Z0L8,SMP00801
Q3V3R1,SMP00801
P18155,SMP00801
Q9D799,SMP00801
Q6PEM8,SMP00801
Q96255,SMP02428
Q84WV0,SMP02428
Q9LM59,SMP02428
O65396,SMP02428
A2RVV7,SMP02428
Q8RXU4,SMP02428
Q56YA5,SMP02428
O82796,SMP02428
O04130,SMP02428
Q9FPH3,SMP02428
P11875,SMP00824
P21888,SMP00824
P04805,SMP00824
